run_id,timestamp_ms,raw_m,filtered_m,residual_m,label
1,140578,12.93,7.46,5.47,2
1,140701,0.18,4.62,-4.44,2
1,140784,13.17,7.96,5.21,2
1,140867,4.34,6.54,-2.20,2
1,141070,0.12,4.04,-3.92,2
1,141108,6.57,5.03,1.54,2
1,141321,13.53,8.35,5.18,2
1,141429,0.16,5.15,-4.99,2
1,141537,0.15,3.20,-3.05,2
1,141695,5.77,4.20,1.57,2
1,141733,0.10,2.60,-2.50,2
1,141861,0.15,1.64,-1.49,2
1,142029,0.14,1.06,-0.92,2
1,142117,0.17,0.71,-0.54,2
1,142270,5.53,2.59,2.94,2
1,142413,0.14,1.63,-1.49,2
1,142521,11.43,5.46,5.97,2
1,142594,0.16,3.39,-3.23,2
1,142752,8.31,5.31,3.00,2
1,142885,0.19,3.31,-3.12,2
1,142933,0.14,2.07,-1.93,2
1,143121,15.49,7.31,8.18,2
1,143149,4.73,6.30,-1.57,2
1,143317,4.29,5.52,-1.23,2
1,143410,9.31,7.00,2.31,2
1,143578,14.88,10.08,4.80,2
1,143641,6.24,8.58,-2.34,2
1,143759,0.19,5.30,-5.11,2
1,143866,8.76,6.65,2.11,2
1,144097,4.95,5.99,-1.04,2
1,144180,0.14,3.71,-3.57,2
1,144275,9.40,5.93,3.47,2
1,145502,5.67,5.67,0.00,2
1,145685,0.17,1.05,-0.88,2
1,145793,0.19,0.60,-0.41,2
1,145876,0.14,0.40,-0.26,2
1,145994,4.90,2.23,2.67,2
1,146162,9.44,5.09,4.35,2
1,146270,12.58,8.03,4.55,2
1,146343,0.19,4.96,-4.77,2
1,146511,12.98,8.09,4.89,2
1,146669,0.13,4.98,-4.85,2
1,146727,13.62,8.36,5.26,2
1,146825,0.14,5.15,-5.01,2
1,147013,0.12,3.19,-3.07,2
1,147061,14.94,7.77,7.17,2
1,147194,10.67,8.90,1.77,2
1,147302,6.01,7.77,-1.76,2
1,147425,14.04,10.22,3.82,2
1,147568,15.69,12.36,3.33,2
2,150397,0.13,5.89,-5.76,2
2,150520,0.14,3.65,-3.51,2
2,150603,0.16,2.29,-2.13,2
2,150761,6.75,4.03,2.72,2
2,150784,0.18,2.53,-2.35,2
2,150952,0.11,1.58,-1.47,2
2,151120,6.00,3.31,2.69,2
2,151168,0.16,2.08,-1.92,2
2,151276,0.14,1.32,-1.18,2
2,151455,4.28,2.48,1.80,2
2,151588,0.10,1.55,-1.45,2
2,151623,11.61,5.48,6.13,2
2,151793,7.85,6.40,1.45,2
2,151864,0.17,3.97,-3.80,2
2,151995,0.18,2.49,-2.31,2
2,153343,6.30,6.30,0.00,2
2,153521,9.82,9.26,0.56,2
2,153629,11.48,10.42,1.06,2
2,153777,0.11,5.93,-5.82,2
2,153905,0.16,3.58,-3.42,2
2,154053,0.10,2.20,-2.10,2
2,154136,0.16,1.40,-1.24,2
2,154209,0.16,0.91,-0.75,2
2,154362,6.63,3.15,3.48,2
2,154425,0.13,1.97,-1.84,2
2,154593,11.59,5.73,5.86,2
2,154701,0.13,3.54,-3.41,2
2,154844,14.78,7.93,6.85,2
2,154997,6.16,7.24,-1.08,2
2,155085,0.11,4.46,-4.35,2
2,155238,6.44,5.23,1.21,2
2,155321,4.34,4.88,-0.54,2
2,155469,7.97,6.09,1.88,2
2,155562,15.67,9.83,5.84,2
2,155635,0.18,6.06,-5.88,2
2,155838,7.73,6.71,1.02,2
2,155961,8.03,7.23,0.80,2
2,155984,0.15,4.46,-4.31,2
2,156187,4.03,4.29,-0.26,2
2,156260,14.80,8.40,6.40,2
2,156428,7.27,7.96,-0.69,2
2,156511,13.46,10.10,3.36,2
2,156584,12.12,10.89,1.23,2
2,156727,6.43,9.15,-2.72,2
2,156905,13.41,10.81,2.60,2
2,156968,0.14,6.65,-6.51,2
2,157136,0.12,4.10,-3.98,2
2,157244,0.10,2.54,-2.44,2
2,157387,12.96,6.61,6.35,2
2,157495,0.17,4.09,-3.92,2
2,157543,8.82,5.94,2.88,2
2,157746,7.07,6.38,0.69,2
2,157844,7.64,6.87,0.77,2
2,158012,12.52,9.08,3.44,2
2,158030,0.19,5.61,-5.42,2
2,158253,7.49,6.34,1.15,2
2,158361,0.17,3.93,-3.76,2
2,158394,9.80,6.22,3.58,2
2,158527,0.15,3.85,-3.70,2
2,158705,7.56,5.30,2.26,2
2,158753,0.14,3.29,-3.15,2
2,158886,0.16,2.07,-1.91,2
2,159054,14.23,6.81,7.42,2
2,159127,8.47,7.46,1.01,2
